experiment_id,scene_id,controller_id,priority,status,raw_file,metrics_file,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,settling_time_s,disturbance_peak_error_m,disturbance_recovery_time_s,overshoot_max_pct,control_energy,control_smoothness,saturation_ratio,constraint_violation_count,total_health_score,final_trackability_score,formation_score,baseline_experiment,rmse_improvement_pct,health_score_delta,quality_status,quality_pass,source,evidence_level,notes
native_result_manifest,,,,done,,Results\robustness\rotor1_loss15_wind_gust_example1\robust_rotor1_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor1_loss15_wind_gust_example1\robust_rotor1_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor2_loss15_wind_gust_example1\robust_rotor2_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor2_loss15_wind_gust_example1\robust_rotor2_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor3_loss15_wind_gust_example1\robust_rotor3_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor3_loss15_wind_gust_example1\robust_rotor3_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor4_loss15_wind_gust_example1\robust_rotor4_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
native_result_manifest,,,,done,,Results\robustness\rotor4_loss15_wind_gust_example1\robust_rotor4_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock\native_result\native_result_manifest.json,,,,,,,,,,,,,,,,,,,,,glob:Results/robustness/**/*.json,,metrics-only evidence
formation_triangle_figure8_linear_mpc_sysblock,formation_triangle_figure8,,,done,,Results\formation\triangle_figure8\formation_triangle_figure8_linear_mpc_sysblock\replay\formation_triangle_figure8_linear_mpc_sysblock.json,,,,,,,,,,,,,,,,,,,,,glob:Results/formation/**/*.json,,metrics-only evidence
official_example1_awff_indi_sysblock,official_example1,,,done,,Results\official\example1_step\official_example1_awff_indi_sysblock\replay\official_example1_awff_indi_sysblock.json,,,,,,,,,,,,,,,,,,,,,glob:Results/official/**/*.json,,metrics-only evidence
